LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-05-16 12:56:39,1900-01-00 00:00:00,Thavanathan’s iPhone,A6:8E:DC:82:EB:7B,-50, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-16 12:56:39,1900-01-00 00:00:00,,14:5A:FC:81:7E:1D,-37,,0.000000,0.000000,0.000,0.000,Client
2026-05-16 12:56:39,1900-01-00 00:00:00,Thavanathan’s iPhone,A6:8E:DC:82:EB:7B,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-16 12:56:39,1900-01-00 00:00:00,,14:5A:FC:81:7E:1D,-37,,0.000000,0.000000,0.000,0.000,Client
2026-05-16 12:56:39,1900-01-00 00:00:00,,14:5A:FC:81:7E:1D,-37,,0.000000,0.000000,0.000,0.000,Client
2026-05-16 12:56:39,1900-01-00 00:00:00,Thavanathan’s iPhone,A6:8E:DC:82:EB:7B,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-16 12:56:39,1900-01-00 00:00:00,Thavanathan’s iPhone,A6:8E:DC:82:EB:7B,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-16 12:56:39,1900-01-00 00:00:00,Thavanathan’s iPhone,A6:8E:DC:82:EB:7B,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-16 12:56:39,1900-01-00 00:00:00,,14:5A:FC:81:7E:1D,-38,,0.000000,0.000000,0.000,0.000,Client
2026-05-16 12:56:39,1900-01-00 00:00:00,Thavanathan’s iPhone,A6:8E:DC:82:EB:7B,-55, WPA2 ,0.000000,0.000000,0.000,0.000,AP
